"tag_id","animal_id","animal_taxon","deploy_on_date","deploy_off_date","hunt","prey_p_month","animal_reproductive_condition","animal_sex","hrs_indoors","n_cats","study_site","age_years"
"Carrots-Tag","Carrots","Felis catus",2017-08-25 01:01:32,2017-09-01 19:04:26,TRUE,17.5,"Neutered","m",7.5,4,"UK",3
"Smudge-Tag","Smudge","Felis catus",2017-08-25 01:01:47,2017-09-01 03:03:32,TRUE,3,"Neutered","m",7.5,1,"UK",3
"Magic-Tag","Magic","Felis catus",2017-08-25 01:02:00,2017-08-25 17:06:00,TRUE,3,"Spayed","f",12.5,3,"UK",3
"Spike-Tag","Spike","Felis catus",2017-08-25 01:02:29,2017-09-01 07:59:53,TRUE,7.5,"Neutered","m",12.5,1,"UK",0
"Dory-Tag","Dory","Felis catus",2017-08-25 01:03:23,2017-09-01 00:05:31,TRUE,0.5,"Not fixed","f",7.5,2,"UK",1
"Tigger-Tag","Tigger","Felis catus",2017-08-25 01:04:55,2017-09-01 01:46:12,TRUE,0.5,"Neutered","m",7.5,1,"UK",3
"Jago2-Tag","Jago2","Felis catus",2017-08-25 01:05:18,2017-09-01 18:46:54,TRUE,0,"Neutered","m",12.5,1,"UK",2
"Frank-Tag","Frank","Felis catus",2017-08-25 01:05:44,2017-09-01 00:08:15,TRUE,3,"Neutered","m",7.5,1,"UK",4
"Skye-Tag","Skye","Felis catus",2017-08-25 01:22:22,2017-09-01 08:15:26,TRUE,0.5,"Neutered","m",12.5,4,"UK",5
"Jezebel-Tag","Jezebel","Felis catus",2017-08-25 01:50:01,2017-09-01 07:58:22,FALSE,0,"Spayed","f",17.5,4,"UK",14
"Boots-Tag","Boots","Felis catus",2017-08-25 02:00:08,2017-08-31 04:48:28,TRUE,0,"Spayed","f",22.5,4,"UK",16
"Smudge_2-Tag","Smudge_2","Felis catus",2017-08-25 06:15:27,2017-09-01 06:45:20,TRUE,0.5,"Neutered","m",17.5,3,"UK",7
"Frank_2-Tag","Frank_2","Felis catus",2017-08-26 01:03:01,2017-09-02 08:21:37,TRUE,0,"Neutered","m",7.5,4,"UK",7
"Freya-Tag","Freya","Felis catus",2017-08-27 01:45:09,2017-09-03 02:08:49,TRUE,0.5,"Spayed","f",12.5,3,"UK",4
"Spot-Tag","Spot","Felis catus",2017-08-27 02:19:45,2017-09-02 06:37:17,TRUE,17.5,"Neutered","m",7.5,4,"UK",2
"Tipsy-Tag","Tipsy","Felis catus",2017-08-28 15:39:12,2017-09-04 09:49:38,FALSE,0,"Spayed","f",17.5,1,"UK",0
"Flash-Tag","Flash","Felis catus",2017-08-28 23:51:55,2017-09-04 10:28:59,TRUE,3,"Spayed","f",17.5,2,"UK",3
"Gracie-Tag","Gracie","Felis catus",2017-09-07 05:02:00,2017-09-12 15:32:00,TRUE,0,"Spayed","f",22.5,1,"UK",2
"Teddy-Tag","Teddy","Felis catus",2017-09-10 01:46:42,2017-09-13 07:46:11,TRUE,0.5,"Spayed","f",12.5,3,"UK",9
"Marley-Tag","Marley","Felis catus",2017-09-10 11:02:26,2017-09-15 19:54:44,TRUE,0.5,"Neutered","m",7.5,1,"UK",1
"Guinness-Tag","Guinness","Felis catus",2017-09-13 18:02:02,2017-09-18 00:05:25,TRUE,3,"Neutered","m",17.5,1,"UK",7
"Reggie-Tag","Reggie","Felis catus",2017-09-17 01:02:50,2017-09-24 00:52:32,TRUE,7.5,"Spayed","f",12.5,3,"UK",8
"Jessie-Tag","Jessie","Felis catus",2017-09-17 01:04:18,2017-10-16 00:05:36,TRUE,3,"Spayed","f",7.5,1,"UK",5
"Roger-Tag","Roger","Felis catus",2017-09-17 01:05:12,2017-09-23 23:57:00,TRUE,0.5,"Neutered","m",17.5,2,"UK",6
"Gracie_2-Tag","Gracie_2","Felis catus",2017-09-17 01:21:38,2017-09-22 16:15:14,TRUE,0.5,"Spayed","f",17.5,2,"UK",6
"Dexter-Tag","Dexter","Felis catus",2017-09-17 01:34:47,2017-09-24 07:35:18,TRUE,3,"Neutered","m",12.5,1,"UK",3
"Tilly-Tag","Tilly","Felis catus",2017-09-17 02:53:42,2017-09-24 04:27:01,TRUE,3,"Spayed","f",12.5,3,"UK",5
"Balu-Tag","Balu","Felis catus",2017-09-18 01:03:13,2017-09-25 05:39:45,TRUE,3,"Spayed","f",2.5,1,"UK",7
"Missy-Tag","Missy","Felis catus",2017-09-18 06:57:14,2017-09-25 06:46:02,TRUE,3,"Spayed","f",7.5,2,"UK",3
"Dexter2-Tag","Dexter2","Felis catus",2017-09-23 17:31:52,2017-09-29 05:09:59,TRUE,0,"Neutered","m",2.5,1,"UK",1
"Fairclough-Tag","Fairclough","Felis catus",2017-09-24 01:02:32,2017-10-01 00:31:25,TRUE,0,"Neutered","m",17.5,2,"UK",4
"Keegan-Tag","Keegan","Felis catus",2017-09-24 01:03:02,2017-09-30 14:41:30,TRUE,3,"Not fixed","m",7.5,2,"UK",3
"Maggie-Tag","Maggie","Felis catus",2017-09-25 01:03:24,2017-10-02 17:22:57,FALSE,0,"Spayed","f",22.5,2,"UK",3
"Lily-Tag","Lily","Felis catus",2017-09-25 01:03:54,2017-10-02 14:57:31,FALSE,0,"Spayed","f",22.5,2,"UK",9
"Abba-Tag","Abba","Felis catus",2017-09-25 01:19:26,2017-10-02 11:04:58,TRUE,3,"Spayed","f",7.5,2,"UK",3
"Worf-Tag","Worf","Felis catus",2017-09-25 01:20:25,2017-09-30 13:12:47,TRUE,7.5,"Spayed","f",2.5,2,"UK",8
"Pants-Tag","Pants","Felis catus",2017-09-28 01:02:00,2017-10-03 10:45:33,FALSE,0,"Neutered","m",12.5,3,"UK",8
"Jim-Tag","Jim","Felis catus",2017-09-28 01:02:04,2017-10-04 13:42:17,TRUE,3,"Spayed","f",12.5,3,"UK",8
"Lucy-Tag","Lucy","Felis catus",2017-09-29 00:01:13,2017-10-06 00:44:55,TRUE,0.5,"Spayed","f",17.5,1,"UK",5
"Macaulay Mccat-Tag","Macaulay Mccat","Felis catus",2017-09-29 07:01:28,2017-10-26 16:51:39,TRUE,17.5,"Spayed","f",2.5,2,"UK",6
"Neil-Tag","Neil","Felis catus",2017-09-30 04:28:02,2017-10-07 00:04:54,FALSE,0,"Neutered","m",7.5,1,"UK",7
"Siberia-Tag","Siberia","Felis catus",2017-10-09 01:01:51,2017-10-16 00:06:01,TRUE,3,"Neutered","m",7.5,2,"UK",8
"Moscow-Tag","Moscow","Felis catus",2017-10-23 01:02:09,2017-10-30 02:21:44,TRUE,0.5,"Neutered","m",12.5,2,"UK",1
"Neva-Tag","Neva","Felis catus",2017-10-23 01:03:54,2017-10-31 00:09:51,TRUE,0,"Spayed","f",17.5,2,"UK",4
"Alfie-Tag","Alfie","Felis catus",2017-10-23 01:03:54,2017-10-30 10:20:43,TRUE,3,"Neutered","m",7.5,2,"UK",3
"Casper-Tag","Casper","Felis catus",2017-10-30 01:02:13,2017-11-06 05:08:45,TRUE,0.5,"Neutered","m",12.5,4,"UK",6
"Ginge-Tag","Ginge","Felis catus",2017-10-30 01:05:07,2017-11-07 19:55:30,TRUE,17.5,"Neutered","m",2.5,2,"UK",3
"Jasper-Tag","Jasper","Felis catus",2017-11-18 01:46:24,2017-11-25 01:11:30,TRUE,12.5,"Neutered","m",7.5,1,"UK",2
"Charlie3-Tag","Charlie3","Felis catus",2017-11-20 01:16:41,2017-11-26 00:38:20,TRUE,7.5,"Unneutered","m",12.5,2,"UK",5
"Millie-Tag","Millie","Felis catus",2017-11-20 01:38:55,2017-11-27 00:09:29,TRUE,7.5,"Spayed","f",12.5,2,"UK",3
"SmokeyLongnose-Tag","SmokeyLongnose","Felis catus",2017-11-20 01:47:42,2017-11-27 02:53:41,TRUE,0.5,"Spayed","f",7.5,2,"UK",9
"CJ-Tag","CJ","Felis catus",2017-11-24 06:48:32,2017-11-29 03:44:48,TRUE,0.5,"Neutered","m",22.5,2,"UK",5
"Seb-Tag","Seb","Felis catus",2017-11-24 09:43:09,2017-11-30 00:52:55,TRUE,3,"Neutered","m",12.5,2,"UK",3
"Gingernut","Gingernut","Felis catus",1970-01-01 04:07:00,1970-01-02 08:43:00,TRUE,4,"Neutered","m",2,0,"NZ",2
"TabithaTag","Tabitha","Felis catus",1970-01-01 01:55:00,1970-01-01 00:22:00,TRUE,4,"Spayed","f",10,0,"NZ",1
"KittyTag","Kitty","Felis catus",1970-01-01 02:40:00,1970-01-03 05:06:00,TRUE,4,"Spayed","f",8,0,"NZ",14
"MurphyTag","Murphy","Felis catus",1970-01-01 03:10:00,1970-01-03 00:30:00,TRUE,4,"Neutered","m",8,0,"NZ",5
"PandaTag","Panda","Felis catus",1970-01-02 23:26:00,1970-01-01 18:52:00,TRUE,4,"Spayed","f",10,0,"NZ",3
"FritzTag","Fritz","Felis catus",1970-01-01 01:43:00,1970-01-01 07:03:00,TRUE,4,"Neutered","m",12,0,"NZ",7
"BanzaiTag","Banzai","Felis catus",1970-01-01 02:32:00,1970-01-02 01:50:00,TRUE,4,"Neutered","m",15,0,"NZ",3
"NekoTag","Neko","Felis catus",1970-01-01 03:41:00,1970-01-01 11:28:00,TRUE,4,"Neutered","m",5,0,"NZ",2
"MogadonTag","Mogadon","Felis catus",1970-01-01 04:05:00,1970-01-01 17:19:00,FALSE,4,"Spayed","f",23,0,"NZ",9
"SkyTag","Sky","Felis catus",1970-01-01 02:18:00,1970-01-01 08:26:00,TRUE,4,"Neutered","m",18,0,"NZ",6
"PussumsTag","Pussums","Felis catus",1970-01-01 03:12:00,1970-01-02 16:58:00,TRUE,4,"Neutered","m",4,0,"NZ",5
"SmudgeTag","Smudge","Felis catus",1970-01-01 00:17:00,1970-01-03 09:44:00,TRUE,4,"Neutered","m",10,0,"NZ",4
"TacoTag","Taco","Felis catus",1970-01-01 01:41:00,1970-01-02 14:15:00,TRUE,4,"Neutered","m",8,0,"NZ",1
"TiggerTag","Tigger","Felis catus",1970-01-01 02:03:00,1970-01-01 01:48:00,TRUE,4,"Neutered","m",8,0,"NZ",6
"SpecklesTag","Speckles1","Felis catus",1970-01-01 02:32:00,1970-01-02 19:01:00,TRUE,4,"Spayed","f",6,0,"NZ",0.8
"MuffinTag","Muffin","Felis catus",1970-01-01 02:26:00,1970-01-03 07:06:00,FALSE,4,"Spayed","f",15,0,"NZ",9
"MollyTag","Molly","Felis catus",1970-01-01 20:56:00,1970-01-03 05:16:00,FALSE,4,"Spayed","f",12,0,"NZ",8
"FlossTag","Floss","Felis catus",1970-01-01 05:28:00,1970-01-01 00:19:00,TRUE,4,"Spayed","f",12,0,"NZ",1
"JinxTag","Jinx","Felis catus",1970-01-01 00:56:00,1970-01-02 08:15:00,TRUE,4,"Neutered","m",20,0,"NZ",8
"AvaTag","Ava","Felis catus",1970-01-01 02:06:00,1970-01-02 07:38:00,TRUE,4,"Spayed","f",20,0,"NZ",2
"AllieTag","Allie","Felis catus",1970-01-01 00:16:00,1970-01-01 02:35:00,TRUE,4,"Spayed","f",6,0,"NZ",8
"JessTag","Jess","Felis catus",1970-01-01 01:06:00,1970-01-02 22:46:00,TRUE,4,"Spayed","f",12,0,"NZ",11
"Timmy1Tag","Timmy1","Felis catus",1970-01-01 01:36:00,1970-01-03 00:52:00,TRUE,4,"Neutered","m",12,0,"NZ",1
"TeddyTag","Teddy","Felis catus",1970-01-01 01:53:00,1970-01-02 21:09:00,FALSE,4,"Neutered","m",15,0,"NZ",5
"AresTag","Ares","Felis catus",1970-01-01 02:32:00,1970-01-03 03:47:00,FALSE,4,"Neutered","m",14,0,"NZ",14
"TheoTag","Theo","Felis catus",1970-01-01 02:25:00,1970-01-02 03:56:00,TRUE,4,"Neutered","m",22,0,"NZ",5
"NikoTag","Niko","Felis catus",1970-01-01 14:23:00,1970-01-01 23:23:00,TRUE,4,"Neutered","m",10,0,"NZ",1
"Maximus1Tag","Maximus1","Felis catus",1970-01-01 18:52:00,1970-01-01 16:50:00,FALSE,4,"Neutered","m",23,0,"NZ",0.3
"Babs1Tag","Babs1","Felis catus",1970-01-01 02:18:00,1970-01-02 14:07:00,TRUE,4,"Spayed","f",14,0,"NZ",0.4
"KiriTag","Kiri","Felis catus",1970-01-02 23:50:00,1970-01-02 17:18:00,TRUE,4,"Spayed","f",12,0,"NZ",0.8
"LucyTag","Lucy","Felis catus",1970-01-01 05:52:00,1970-01-01 05:25:00,FALSE,4,"Spayed","f",6,0,"NZ",7
"ZeusTag","Zeus","Felis catus",1970-01-01 03:27:00,1970-01-03 08:04:00,TRUE,4,"Neutered","m",10,0,"NZ",1
"DelphiTag","Delphi","Felis catus",1970-01-01 07:07:00,1970-01-03 06:41:00,TRUE,4,"Spayed","f",10,0,"NZ",1
"HufferTag","Huffer","Felis catus",1970-01-01 02:59:00,1970-01-01 08:30:00,FALSE,4,"Neutered","m",12,0,"NZ",7
"PoppyTag","Poppy","Felis catus",1970-01-01 02:17:00,1970-01-03 07:01:00,FALSE,4,"Spayed","f",23,0,"NZ",16
"MontyTag","Monty","Felis catus",1970-01-01 02:14:00,1970-01-01 12:15:00,FALSE,4,"Neutered","m",16,0,"NZ",2
"TysonTag","Tyson","Felis catus",1970-01-03 08:39:00,1970-01-01 17:04:00,TRUE,4,"Neutered","m",5,0,"NZ",8
"SophiaTag","Sophia","Felis catus",1970-01-01 01:21:00,1970-01-01 16:58:00,TRUE,4,"Spayed","f",10,0,"NZ",3
"PoppyIITag","PoppyII","Felis catus",1970-01-01 01:58:00,1970-01-02 14:47:00,FALSE,4,"Spayed","f",6,0,"NZ",15
"YasasTag","Yasas","Felis catus",1970-01-01 00:09:00,1970-01-03 05:45:00,FALSE,4,"Neutered","m",20,0,"NZ",9
"MabelTag","Mabel","Felis catus",1970-01-01 00:19:00,1970-01-01 22:36:00,TRUE,4,"Spayed","f",14,0,"NZ",3
"ColinTag","Colin","Felis catus",1970-01-01 01:50:00,1970-01-01 15:45:00,FALSE,4,"Neutered","m",8,0,"NZ",3
"MaxTag","Max","Felis catus",1970-01-01 01:52:00,1970-01-03 10:25:00,TRUE,4,"Neutered","m",20,0,"NZ",1
"PercyTag","Percy","Felis catus",1970-01-01 17:57:00,1970-01-03 08:52:00,TRUE,4,"Neutered","m",8,0,"NZ",9
"KaosTag","Kaos","Felis catus",1970-01-01 00:17:00,1970-01-01 21:41:00,TRUE,4,"Neutered","m",4,0,"NZ",7
"OkieTag","Okie","Felis catus",1970-01-01 00:19:00,1970-01-01 11:59:00,TRUE,4,"Spayed","f",16,0,"NZ",1
"RiggsTag","Riggs","Felis catus",1970-01-01 01:44:00,1970-01-03 06:05:00,TRUE,4,"Neutered","m",14,0,"NZ",1
"NalaTag","Nala","Felis catus",1970-01-01 02:04:00,1970-01-01 07:16:00,TRUE,4,"Spayed","f",8,0,"NZ",1
"AslanTag","Aslan","Felis catus",1970-01-01 02:16:00,1970-01-02 02:29:00,FALSE,4,"Neutered","m",15,0,"NZ",11
"MuffinIITag","MuffinII","Felis catus",1970-01-02 21:02:00,1970-01-02 10:17:00,TRUE,4,"Spayed","f",18,0,"NZ",4
"SylvesterTag","Sylvester","Felis catus",1970-01-01 00:52:00,1970-01-01 16:03:00,TRUE,4,"Neutered","m",10,0,"NZ",7
"CharlieTag","Charlie","Felis catus",1970-01-01 02:31:00,1970-01-02 20:08:00,FALSE,4,"Neutered","m",20,0,"NZ",1
"KyroTag","Kyro","Felis catus",1970-01-01 04:45:00,1970-01-02 04:44:00,FALSE,4,"Neutered","m",12,0,"NZ",11
"MontyIITag","MontyII","Felis catus",1970-01-01 17:14:00,1970-01-02 23:11:00,TRUE,4,"Neutered","m",10,0,"NZ",1
"BootsTag","Boots","Felis catus",1970-01-02 06:01:00,1970-01-02 18:16:00,FALSE,4,"Spayed","f",12,0,"NZ",2
"RichieTag","Richie","Felis catus",1970-01-01 02:51:00,1970-01-02 15:16:00,TRUE,4,"Neutered","m",4,0,"NZ",3
"GeorgeTag","George","Felis catus",1970-01-03 11:48:00,1970-01-02 10:01:00,TRUE,4,"Neutered","m",15,0,"NZ",9
"SamanthaTag","Samantha","Felis catus",1970-01-01 02:35:00,1970-01-02 23:18:00,TRUE,4,"Spayed","f",21,0,"NZ",9
"MaggieTag","Maggie","Felis catus",1970-01-01 02:50:00,1970-01-03 11:14:00,TRUE,4,"Spayed","f",15,0,"NZ",4
"MaddieTag","Maddie","Felis catus",1970-01-01 04:25:00,1970-01-01 08:09:00,FALSE,4,"Spayed","f",12,0,"NZ",4
"CarinaTag","Carina","Felis catus",1970-01-01 04:55:00,1970-01-01 17:45:00,TRUE,4,"Spayed","f",18,0,"NZ",2
"HappyFeetTag","HappyFeet","Felis catus",1970-01-01 08:48:00,1970-01-03 04:19:00,TRUE,4,"Neutered","m",10,0,"NZ",4
"ChilliTag","Chilli","Felis catus",1970-01-01 02:33:00,1970-01-02 20:31:00,TRUE,4,"Neutered","m",22,0,"NZ",1
"TinaTag","Tina","Felis catus",1970-01-01 02:38:00,1970-01-01 10:15:00,TRUE,4,"Spayed","f",5,0,"NZ",4
"CornflakeTag","Cornflake","Felis catus",1970-01-01 18:09:00,1970-01-01 18:59:00,TRUE,4,"Spayed","f",10,0,"NZ",3
"PharosTag","Pharos","Felis catus",1970-01-01 01:58:00,1970-01-03 03:36:00,TRUE,4,"Spayed","f",8,0,"NZ",8
"BaileeTag","Bailee","Felis catus",1970-01-01 01:59:00,1970-01-01 02:04:00,FALSE,4,"Neutered","m",2,0,"NZ",8
"ApplesTag","Apples","Felis catus",1970-01-01 02:33:00,1970-01-02 10:20:00,TRUE,4,"Spayed","f",10,0,"NZ",10
"HenryTag","Henry","Felis catus",1970-01-01 01:55:00,1970-01-02 05:11:00,TRUE,4,"Neutered","m",4,0,"NZ",6
"MarleyTag","Marley","Felis catus",1970-01-01 02:55:00,1970-01-02 08:22:00,TRUE,4,"Neutered","m",5,0,"NZ",3
"LunaTag","Luna","Felis catus",1970-01-01 02:09:00,1970-01-01 03:23:00,TRUE,4,"Spayed","f",8,0,"NZ",2
"MilkshakesTag","Milkshakes","Felis catus",1970-01-01 02:31:00,1970-01-02 00:30:00,TRUE,4,"Neutered","m",8,0,"NZ",3
"MidnightTag","Midnight","Felis catus",1970-01-01 02:34:00,1970-01-03 02:54:00,TRUE,4,"Spayed","f",6,0,"NZ",6
"BellaIITag","BellaII","Felis catus",1970-01-01 02:43:00,1970-01-01 05:32:00,TRUE,4,"Spayed","f",19,0,"NZ",8
"SkittlesTag","Skittles","Felis catus",1970-01-01 02:35:00,1970-01-01 03:26:00,TRUE,4,"Spayed","f",5,0,"NZ",2
"BellaTag","Bella","Felis catus",1970-01-01 00:44:00,1970-01-01 17:25:00,FALSE,4,"Spayed","f",20,0,"NZ",4
"PennyTag","Penny","Felis catus",1970-01-01 02:05:00,1970-01-03 04:15:00,TRUE,4,"Spayed","f",10,0,"NZ",1
"NougieTag","Nougie","Felis catus",1970-01-01 02:04:00,1970-01-01 11:46:00,TRUE,4,"Spayed","f",10,0,"NZ",12
"IzzieTag","Izzie","Felis catus",1970-01-01 04:38:00,1970-01-01 19:55:00,FALSE,4,"Spayed","f",12,0,"NZ",1
"MokaTag","Moka","Felis catus",1970-01-01 18:56:00,1970-01-01 00:59:00,TRUE,4,"Spayed","f",12,0,"NZ",4
"SniferTag","Snifer","Felis catus",1970-01-01 13:36:00,1970-01-02 06:39:00,TRUE,4,"Spayed","f",13,0,"NZ",5
"JinglesTag","Jingles","Felis catus",1970-01-01 16:19:00,1970-01-01 03:25:00,TRUE,4,"Spayed","f",12,0,"NZ",7
"EllieTag","Ellie","Felis catus",1970-01-03 03:57:00,1970-01-01 01:14:00,TRUE,4,"Spayed","f",22,0,"NZ",8
"AshTag","Ash","Felis catus",1970-01-02 07:03:00,1970-01-02 00:57:00,TRUE,4,"Neutered","m",18,0,"NZ",8
"TigerTag","Tiger","Felis catus",1970-01-01 01:55:00,1970-01-01 04:57:00,TRUE,4,"Neutered","m",16,0,"NZ",1
"OllieTag","Ollie","Felis catus",1970-01-01 00:50:00,1970-01-02 04:10:00,TRUE,4,"Neutered","m",12,0,"NZ",2
"RogerTag","Roger","Felis catus",1970-01-01 03:44:00,1970-01-02 05:27:00,TRUE,4,"Neutered","m",16,0,"NZ",0.2
"RosieTag","Rosie","Felis catus",1970-01-03 01:18:00,1970-01-01 09:03:00,FALSE,4,"Spayed","f",16,0,"NZ",0.2
"McIvorTag","McIvor","Felis catus",1970-01-01 02:21:00,1970-01-01 22:27:00,FALSE,4,"Neutered","m",22,0,"NZ",10
"SpudTag","Spud","Felis catus",1970-01-01 03:37:00,1970-01-03 06:25:00,FALSE,4,"Spayed","f",8,0,"NZ",10
